Marca,Token Figma,Variable ID,Valor Figma,Cadena alias,CSS,Valor CSS actual,Comparación CSS,Catálogo actual,Comparación catálogo
grm-global,primary/20%,VariableID:2457:29811,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:185'}, 'opacity': 20}",primary/20%,--primary-20,,missing,oklch(0.5649 0.1019 180.8 / 20%),different
grm-global,destructive/30%,VariableID:2926:3907,#e31646 / 30%,destructive/30% → GRM Global/status/destructive/500-30%,--destructive-30,,missing,oklch(0.6566 0.2317 17.86 / 30%),different
grm-global,muted/20%,VariableID:3627:49901,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 20}",muted/20%,--muted-20,,missing,,missing
grm-global,primary/light-border,VariableID:3627:52309,#94ded4,primary/light-border → GRM Global/primary/200,--primary-light-border,#94ded4,equal,#94ded4,equal
grm-global,background/10%,VariableID:3758:13875,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:183'}, 'opacity': 10}",background/10%,--background-10,,missing,oklch(0.9775 0.0028 308.43 / 20%),different
grm-global,card/1%,VariableID:3781:32016,#ffffff / 1%,card/1% → color/neutral/0-1%,--card-1,,missing,oklch(1 0 89.88 / 1%),equal
grm-global,table/header/background,VariableID:4989:98324,#f3f1f3,table/header/background,--table-header-background,,missing,,missing
grm-global,muted/30%,VariableID:5046:23981,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:188'}, 'opacity': 30}",muted/30%,--muted-30,,missing,,missing
grm-global,button/brand-gradient-1,VariableID:5082:64990,#45d6a1,button/brand-gradient-1 → secondary-hover → GRM Global/secondary/hover → GRM Global/secondary/600,--button-brand-gradient-1,,missing,,missing
grm-global,button/brand-gradient-2,VariableID:5082:64991,#007b6d,button/brand-gradient-2 → primary → GRM Global/primary/500,--button-brand-gradient-2,,missing,,missing
grm-global,background/brand-gradient/light/1,VariableID:5088:23706,#e6f3f2,background/brand-gradient/light/1,--background-brand-gradient-light-1,,missing,,missing
grm-global,background/brand-gradient/light/2,VariableID:5090:36219,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:50:300'}, 'opacity': 0}",background/brand-gradient/light/2,--background-brand-gradient-light-2,,missing,,missing
